,0
0,1039604.0895628744
1,3638.791231656696
2,344231.77235102444
3,404490.3808728368
4,649653.6039697044
5,471953.4829730462
6,774172.8582460759
7,392188.45614054357
8,679897.3534998704
9,724559.8617628948
10,351252.89194417774
11,4530.950624578105
12,603840.0785713386
13,569315.3144928723
14,2843.716813554087
15,675833.5290801859
16,883314.2243870478
17,1109898.2530783808
18,688445.0948786332
19,544528.3139740805
20,755445.8666789642
21,371299.8803929575
22,1109345.6974207994
23,732798.4778285575
24,620230.3511767983
25,550516.2415398977
26,767111.1056764595
27,349524.97222454014
28,759271.9055849748
29,598249.9353975804
30,813593.6347941998
31,3029.6065128212326
32,4311.448133557949
33,3175.5069902655164
34,771834.2013142811
35,2941.647098640166
36,572857.2639518352
37,6993.199862048783
38,936648.2404546533
39,747900.8404558605
40,644785.3590960813
41,4851.645514692681
42,403600.85752936004
43,430692.95038164506
44,579202.6068596895
45,510822.8016571317
46,685628.5558146915
47,329543.65589779493
48,971584.2845172477
49,444578.179318989
50,327590.4136937601
51,549577.8822627
52,472574.6173739917
53,414385.6262644666
54,244338.19210125785
55,531020.3885239692
56,683861.9513215583
57,1051174.5413522774
58,1277889.253432094
59,1028565.7719858881
60,512401.7048447728
61,502500.3890607439
62,921228.6178527878
63,785855.2958233227
64,427101.02189643023
65,345851.258248434
66,415488.47141962004
67,609139.3173678592
68,1019128.7737098912
69,703107.7267963252
70,535522.7250622205
71,4221.150035698999
72,535862.7863279231
73,3600.3783748488872
74,4388.450707701334
75,596396.4504681649
76,777141.8028250701
77,657561.9078159747
78,567799.2832418723
79,675135.3198331735
80,1082379.6667853554
81,5036.1795353260595
82,1002856.664867213
83,478561.3358740036
84,660822.893321963
85,1132669.985690782
86,600939.9623393908
87,952020.1054808702
88,540561.8655511319
89,548126.6959738383
90,1543009.7432194091
91,864728.5089370612
92,928825.4605553456
93,617655.6546766954
94,2638.2115177245073
95,155795.2606968992
96,3670.4306462327368
97,839630.0732110897
98,643160.9377855455
99,681023.082299707
100,524643.8534421286
101,768296.4208004861
102,725500.4204631072
103,2223159.5084984847
